"What.year.are.you.at.Stanford.","I.feel.that.statistics.will.be.useful.to.me.in.my.profession..","The.thought.of.being.enrolled.in.a.statistics.course.makes.me.nervous.","A.good.researcher.must.have.training.in.statistics..","Statistics.seems.very.mysterious.to.me..","Most.people.would.benefit.from.taking.a.statistics.course.","I.have.difficulty.seeing.how.statistics.relates.to.my.field.of.study..","I.see.being.enrolled.in.a.statistics.course.as.a.very.unpleasant.experience..","I.would.like.to.continue.my.statistical.training.in.an.advanced.course.","Statistics.will.be.useful.to.me.in.comparing.the.relative.merits.of.different.objects..methods..programs..etc..","X.Statistics.is.not.really.very.useful.because.it.tells.us.what.we.already.know.anyway.","Statistical.training.is.relevant.to.my.performance.in.my.field.of.study..","I.wish.that.I.could.have.avoided.taking.my.statistics.course..","Statistics.is.a.worthwhile.part.of.my.professional.training..","X.Statistics.is.too.math.oriented.to.be.of.much.use.to.me.in.the.future..","I.get.upset.at.the.thought.of.enrolling.in.another.statistics.course.","Statistical.analysis.is.best.left.to.the..experts..and.should.not.be.part.of.a.lay.professional.s.job..","Statistics.is.an.inseparable.aspect.of.scientific.research..","I.feel.intimidated.when.I.have.to.deal.with.mathematical.formulas..","I.am.excited.at.the.prospect.of.actually.using.statistics.in.my.job..","Studying.statistics.is.a.waste.of.time.","My.statistical.training.will.help.me.better.understand.the.research.being.done.in.my.field.of.study..","One.becomes.a.more.effective..consumer..of.research.findings.if.one.has.some.training.in.statistics..","Training.in.statistics.makes.for.a.more.well.rounded.professional.experience..","Statistical.thinking.can.play.a.useful.role.in.everyday.life..","Dealing.with.numbers.makes.me.uneasy..","I.feel.that.statistics.should.be.required.early.in.one.s.professional.training..","Statistics.is.too.complicated.for.me.to.use.effectively..","Statistical.training.is.not.really.useful.for.most.professionals..","Statistical.thinking.will.one.day.be.as.necessary.for.efficient.citizenship.as.the.ability.to.read.and.write.."
"1",6,6,7,6,5,2,3,4,5,3,6,3,5,3,4,3,4,3,5,3,5,6,5,5,3,5,3,3,3
"2",7,7,7,6,6,1,7,3,6,1,7,5,7,1,7,4,7,7,3,1,7,7,6,6,7,6,3,2,5
"3",7,6,7,5,7,1,5,7,6,1,7,2,7,1,5,1,7,7,7,1,7,7,7,7,7,7,2,1,5
"3",4,7,5,4,6,4,6,2,5,2,5,7,2,4,7,5,3,7,3,2,6,6,7,6,7,5,5,4,5
"1",6,4,7,5,6,2,2,6,6,1,6,1,7,1,1,1,6,2,6,1,6,7,7,7,2,3,2,3,2
"3",5,4,5,5,5,3,4,4,4,4,4,6,5,3,6,2,4,5,3,1,4,4,5,4,4,4,4,4,4
"2",6,5,7,1,6,1,4,1,6,1,6,2,5,3,3,2,6,5,3,2,7,5,7,4,5,4,2,2,2
"3",6,7,6,6,6,2,7,2,6,1,5,6,6,5,7,4,6,7,3,1,6,6,6,6,7,4,4,2,5
"4",4,4,6,3,5,2,4,1,2,2,1,6,5,3,5,5,3,6,2,2,5,3,4,4,6,3,5,4,1
"2",5,7,7,5,7,1,5,7,6,1,7,1,7,1,4,1,7,7,4,1,7,7,7,6,6,6,3,1,5
"4",6,7,5,7,5,2,4,1,2,2,2,7,4,7,7,5,4,7,1,5,4,4,5,2,7,2,4,3,1
"3",5,7,7,6,6,2,4,1,3,1,2,6,5,1,5,2,5,2,3,2,4,6,6,6,1,4,3,2,1
"2",6,6,7,5,6,1,4,6,6,2,7,3,7,3,4,2,7,6,6,1,7,7,6,6,7,6,2,2,4
"4",5,2,6,1,4,1,4,1,5,1,6,7,6,1,5,1,6,4,1,1,6,7,4,4,3,3,2,1,2
"2",7,3,7,5,7,1,2,7,7,1,7,1,7,1,1,1,7,3,6,1,7,7,7,7,NA,7,2,2,6
"4",7,3,7,2,6,2,3,5,6,1,6,3,6,2,3,1,6,2,5,1,7,7,7,7,1,6,2,2,3
"1",5,6,5,5,5,3,3,4,5,2,4,3,5,3,2,2,5,5,4,1,5,5,5,5,5,4,3,3,4
"3",6,5,6,2,5,2,3,1,5,2,4,4,5,5,1,2,7,4,5,1,6,6,6,6,5,4,2,1,2
"3",4,1,7,2,6,1,1,1,4,2,4,1,5,1,3,1,6,1,5,1,7,7,7,7,1,4,2,3,4
"2",4,5,7,5,5,4,3,2,5,2,5,4,5,6,4,2,5,5,2,2,6,6,6,6,6,2,3,4,1
"3",2,7,7,5,5,5,5,1,3,1,1,7,3,6,6,2,6,3,1,2,2,7,6,5,7,4,3,2,2
"1",7,4,7,5,7,3,2,4,7,1,3,2,5,1,4,3,7,4,3,1,4,6,7,5,2,4,2,1,4
"1",7,2,6,2,7,1,1,5,6,1,5,1,7,1,1,2,7,4,6,1,7,7,7,7,3,4,2,2,4
"1",6,3,5,5,6,4,3,4,5,2,4,2,5,2,3,2,5,3,4,2,5,6,6,6,2,5,3,3,4
"2",6,5,7,5,7,1,2,3,5,1,5,1,7,2,2,2,7,5,4,1,6,6,6,6,5,6,2,1,5
"1",5,7,7,4,6,4,4,4,5,1,4,3,4,4,3,2,6,3,5,2,5,6,6,5,5,5,4,2,5
"2",7,6,7,4,7,1,5,3,7,1,7,5,6,1,5,2,7,6,3,1,7,7,7,7,6,6,3,2,6
"2",7,1,7,1,7,1,1,6,7,1,7,1,7,1,1,1,7,1,5,1,6,6,6,6,3,6,1,1,1
"4",6,5,5,5,6,1,4,3,4,2,6,5,6,2,3,3,5,2,2,1,7,7,6,4,2,7,2,1,4
"4",6,6,5,7,4,3,5,2,3,1,1,5,5,6,7,2,6,2,5,2,3,5,2,2,3,3,3,6,2
"2",6,5,5,4,3,2,2,4,2,2,6,3,6,3,1,4,5,3,5,2,7,5,5,3,2,2,5,2,2
"1",5,4,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,6,4,4,4,4
"2",5,7,6,6,6,5,6,2,6,5,5,6,5,5,6,3,4,6,5,4,5,5,5,3,6,6,4,3,4
"2",4,7,6,3,4,2,6,2,5,3,6,5,5,5,5,3,5,7,4,3,4,6,3,4,6,4,4,2,5
"3",2,4,7,4,7,1,5,2,6,1,2,4,5,6,3,1,7,5,1,1,7,7,5,6,5,5,4,1,2
"2",5,3,6,4,5,5,4,2,5,4,2,4,4,4,3,3,5,5,4,2,6,6,5,6,4,4,3,4,3
"4",4,1,4,1,6,1,2,2,5,3,4,3,5,5,5,3,4,3,4,4,3,5,6,3,5,4,4,2,4
"1",7,1,7,2,7,1,1,7,7,1,7,1,7,1,1,1,7,1,7,1,7,7,7,7,1,6,1,1,5
"4",7,3,7,1,7,1,1,1,5,1,5,1,7,1,3,2,7,1,4,1,7,7,7,7,2,6,1,1,4
"1",6,7,7,5,6,2,4,3,6,1,5,5,6,3,5,2,6,7,3,1,6,7,5,5,7,5,4,2,5
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5,2,5,3,6,1,1,3,6,3,4,2,7,2,2,1,7,2,5,2,5,7,7,7,1,4,3,2,5
"4",6,6,7,5,7,2,3,4,6,1,6,4,5,3,5,1,6,7,6,1,7,7,7,6,6,6,3,2,4
"3",7,4,4,3,6,1,1,4,5,6,5,1,6,2,2,2,6,7,5,1,6,5,6,6,7,4,3,2,4
"1",5,5,6,4,6,2,2,4,4,2,6,2,5,4,4,2,7,5,5,1,7,5,5,5,6,6,4,2,2
"1",5,5,5,5,5,4,3,4,5,4,4,3,4,4,4,4,4,3,4,3,4,5,5,6,2,4,3,3,4
"1",7,2,7,3,7,1,1,4,7,2,6,1,6,2,2,2,7,2,6,1,7,7,7,7,1,5,2,2,7
"4",4,3,6,3,7,1,3,2,5,1,3,1,5,1,3,3,7,3,2,1,6,7,7,7,2,5,2,3,2
"3",4,6,4,5,3,3,4,2,5,1,1,5,3,6,5,3,6,7,4,3,5,6,6,6,6,2,4,5,2
"1",5,3,5,2,5,2,4,4,5,3,5,3,5,2,4,3,5,3,3,3,5,6,5,4,3,5,3,3,3
"4",5,6,7,5,7,1,4,2,6,2,6,1,6,4,4,1,7,5,4,1,7,7,7,6,5,7,3,2,4
"2",5,7,7,6,7,6,7,1,6,2,2,7,7,5,7,2,7,7,2,1,1,7,7,7,6,7,6,1,7
"4",7,6,7,6,7,1,2,7,5,1,4,3,7,1,1,1,5,3,6,1,7,7,5,7,1,7,1,2,2
"4",7,5,7,2,6,1,3,4,6,1,7,3,6,2,5,1,7,3,2,1,7,6,6,6,6,6,2,1,5
"2",5,4,6,6,7,5,2,2,3,2,5,2,5,2,4,2,2,3,4,2,5,4,6,6,1,6,2,2,3
"2",5,3,6,4,6,1,4,2,6,1,7,4,6,4,4,2,7,5,2,1,7,7,7,7,4,4,4,3,4
"2",4,7,7,4,5,6,4,2,5,2,2,7,5,6,4,1,7,6,3,4,5,7,7,5,1,3,4,5,4
"2",6,2,5,3,6,2,1,2,6,1,5,2,4,1,3,2,6,2,5,1,4,7,5,5,2,3,2,4,1
"2",6,5,7,5,6,2,4,3,5,2,6,3,6,4,5,5,7,6,5,2,6,7,6,4,5,5,3,3,2
"1",7,6,6,6,7,1,3,6,7,1,6,4,6,2,2,7,7,7,5,1,7,7,7,7,7,5,6,1,7
"1",6,7,7,7,7,6,3,4,6,3,4,3,6,3,3,2,4,5,6,2,4,5,7,6,4,5,3,2,5
"1",5,6,5,5,4,4,3,4,4,3,4,3,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,3,4
"1",7,7,7,6,7,1,4,6,4,1,7,7,7,2,4,2,7,5,4,1,7,6,6,7,5,5,2,3,4
"1",7,1,7,2,7,1,1,7,7,1,6,2,6,1,1,1,7,1,7,1,7,7,7,7,1,7,2,3,5
"2",5,7,6,6,5,2,6,1,5,2,6,6,6,2,6,1,7,7,4,1,7,6,5,2,6,2,4,3,1
"2",3,4,7,4,7,1,2,1,4,1,7,4,2,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4
"3",5,4,5,1,7,1,2,4,5,1,7,1,5,1,3,2,2,4,4,1,7,7,7,5,4,5,1,3,3
"2",6,6,6,6,6,2,4,4,5,1,5,2,5,3,3,3,7,5,5,1,6,6,6,6,3,5,2,3,5
"3",2,6,4,5,4,4,5,2,4,3,3,4,1,5,4,2,4,4,1,4,3,3,3,4,4,3,3,3,3
"4",7,7,7,4,7,1,1,4,7,1,6,1,7,4,1,1,7,5,7,1,7,7,7,7,3,7,1,1,4
"2",6,7,6,6,6,2,5,2,6,2,6,5,5,5,5,3,5,7,2,2,6,6,6,6,6,4,4,3,5
"3",7,2,7,1,7,1,1,2,7,1,6,1,5,1,1,2,7,5,3,1,7,7,6,6,5,6,1,1,4
"4",7,7,2,7,4,4,7,3,4,2,4,7,4,7,7,4,7,7,5,2,6,NA,5,6,7,5,4,2,4
"3",7,1,7,7,7,1,2,5,5,2,2,2,6,2,2,2,6,2,6,2,6,5,6,6,2,6,2,2,6
"2",7,5,7,2,7,1,2,7,7,1,7,1,7,1,2,1,7,4,7,1,7,7,7,7,3,7,1,1,5
"2",5,6,5,6,6,2,5,3,4,2,4,4,5,5,6,3,5,6,3,3,5,6,4,5,4,4,5,4,5
"4",7,7,7,7,7,1,3,4,6,1,7,3,7,2,2,2,7,6,4,2,7,7,7,7,3,5,3,3,4
"4",4,2,4,2,3,3,2,2,4,1,3,3,4,3,2,1,5,3,4,2,3,4,4,4,3,4,2,3,3
"2",7,7,7,7,5,1,5,3,7,1,7,7,7,1,6,1,7,7,1,1,7,7,7,7,7,4,5,2,3
"4",4,7,5,7,4,1,3,1,2,3,3,5,3,5,7,4,6,6,1,3,6,6,4,5,7,2,3,2,5
"4",5,6,6,3,4,3,3,2,5,2,5,4,5,4,4,3,6,5,4,2,6,5,6,4,4,6,4,4,4
"4",5,1,6,3,4,2,4,4,5,1,6,4,6,2,2,3,6,5,3,2,6,5,5,5,3,4,3,4,2
"4",6,2,2,5,6,5,2,3,4,1,3,2,6,1,1,1,3,2,6,1,5,6,7,6,1,5,2,2,6
"3",5,6,6,3,4,2,6,1,3,1,5,5,6,3,5,3,7,6,3,2,6,6,5,6,6,3,3,3,5
"2",7,5,7,5,7,1,2,4,6,1,6,3,7,2,3,3,7,5,3,1,7,7,6,6,5,4,2,2,2
"4",3,2,6,2,6,5,4,1,7,1,1,5,2,2,4,1,6,2,4,2,4,7,6,7,3,4,2,3,5
"1",7,5,7,5,7,1,3,4,7,1,7,2,6,2,4,2,7,3,5,1,7,6,7,6,2,7,4,1,6
"3",7,2,7,2,6,1,2,5,5,1,6,2,7,2,3,2,7,4,5,2,6,6,6,6,2,6,1,1,3
"3",7,2,7,1,7,1,2,4,6,1,5,4,7,1,4,1,7,3,3,1,7,7,7,7,2,7,2,1,7
"2",7,2,6,5,7,1,1,7,5,1,7,1,7,1,1,1,7,5,6,1,6,6,6,6,2,5,2,3,6
"2",7,6,7,5,6,1,4,4,6,1,7,4,7,1,3,2,6,7,6,1,6,7,7,7,6,5,3,1,5
"2",6,5,5,1,7,2,5,2,5,2,4,4,5,4,4,4,6,6,4,3,4,6,6,6,5,4,3,2,5
"4",2,3,6,4,6,4,3,2,5,2,2,4,4,3,3,2,6,3,4,2,5,6,5,5,5,5,3,2,2
"1",4,4,4,2,4,4,2,4,4,1,4,1,4,2,2,1,7,2,5,1,4,7,7,7,2,4,3,3,4
"4",5,5,6,4,6,3,3,3,5,1,4,4,5,2,2,2,6,1,4,2,5,6,6,5,1,4,4,3,5
"3",5,5,7,3,7,2,5,1,6,2,2,6,7,3,4,3,6,7,5,1,5,7,5,6,7,4,5,4,2
"1",6,3,6,3,6,3,3,4,6,1,5,1,5,3,2,2,7,5,4,2,5,6,6,5,3,5,NA,2,1
"3",7,1,7,1,7,1,1,2,6,1,7,1,7,1,4,2,7,1,5,1,7,7,7,7,3,4,1,1,5
"4",4,7,3,6,5,6,6,1,3,2,2,6,2,5,7,3,4,5,1,3,2,6,5,3,4,3,7,5,2
"2",7,2,7,5,6,1,1,2,6,1,7,1,7,1,1,1,6,7,7,1,7,7,7,4,6,6,2,1,7
"2",5,2,6,3,6,2,3,3,4,2,6,2,7,2,2,4,6,2,5,2,6,4,6,7,5,6,2,1,2
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",7,1,7,5,7,1,1,7,6,2,6,2,7,1,1,3,5,5,7,1,6,6,7,6,4,6,2,3,2
"3",7,5,7,4,6,1,3,4,7,2,7,1,7,1,4,2,7,3,6,1,7,7,7,5,3,6,2,1,4
"4",5,1,7,5,5,1,2,2,6,1,4,2,5,1,3,2,6,2,4,1,6,6,6,5,2,3,2,3,4
"2",6,6,7,7,7,1,6,4,7,1,6,4,7,3,6,2,6,7,3,1,7,7,7,7,7,4,3,3,4
"3",4,6,6,6,5,5,5,1,5,3,3,5,4,5,6,4,5,7,1,3,6,5,5,4,6,3,4,3,5
"3",7,2,7,2,7,1,4,2,7,1,7,1,7,1,1,1,7,6,3,1,7,7,7,7,5,7,1,1,7
"4",5,6,5,5,6,7,6,1,2,2,2,7,5,6,6,3,7,7,1,2,2,5,5,5,7,2,5,4,2
"4",6,7,6,5,7,2,2,3,7,2,7,2,7,2,3,2,7,6,7,2,6,7,7,7,6,6,2,1,7
"3",6,5,7,5,7,1,4,2,6,1,5,5,6,4,6,1,7,6,6,2,7,7,7,7,6,7,2,1,6
"1",5,2,5,4,5,2,2,1,5,2,5,1,5,1,1,2,5,2,5,2,5,6,5,5,1,5,3,3,4
"1",7,5,7,3,7,1,3,6,6,3,7,2,7,1,2,1,7,2,6,1,7,6,6,5,1,7,3,1,6
"1",7,7,7,7,6,2,6,3,7,1,7,1,6,1,4,2,6,7,7,1,7,6,6,5,6,4,2,1,6
"1",6,6,6,7,7,4,3,4,5,2,4,2,6,3,4,3,5,6,4,2,5,5,6,5,4,4,4,4,5
"4",5,5,6,6,6,5,5,1,4,1,2,5,6,3,7,2,7,3,2,1,4,6,6,5,3,4,3,2,4
"4",7,4,7,4,6,1,2,4,5,1,5,1,7,1,1,2,5,1,7,1,5,7,7,7,1,5,1,1,4
"4",6,3,3,5,6,2,2,4,5,1,5,2,5,3,3,2,4,5,4,1,5,5,6,6,5,3,2,2,4
"1",6,NA,3,3,5,2,2,4,5,2,5,1,5,2,1,1,5,1,5,1,5,5,5,5,1,4,2,2,5
"3",7,7,7,7,7,1,4,7,7,1,5,2,6,4,1,1,5,7,5,1,6,7,7,7,2,7,1,1,5
"4",7,7,7,7,7,1,1,6,7,1,7,1,7,1,4,1,7,7,7,1,7,7,7,7,7,7,3,2,4
"3",7,5,7,5,6,2,4,3,7,1,1,3,7,2,4,3,6,5,2,2,2,7,7,6,6,5,2,1,4
"2",5,2,4,3,6,2,1,4,5,2,4,2,5,2,1,3,7,5,4,1,6,6,6,6,3,4,2,2,4
"3",5,7,6,7,7,1,3,1,7,1,6,3,5,2,4,3,6,5,3,2,6,6,6,5,6,6,2,2,4
"3",7,3,7,4,7,1,3,2,5,2,4,2,5,3,6,3,7,4,3,1,7,7,7,5,5,5,3,3,3
"1",7,4,5,5,7,2,1,3,5,1,5,1,6,1,1,1,5,5,6,1,7,6,7,7,3,5,2,1,7
"3",6,6,5,3,7,1,6,3,7,1,7,7,5,4,4,3,6,6,5,1,7,7,7,6,2,4,2,2,4
"4",5,1,6,3,6,4,1,4,5,1,5,2,6,2,2,2,6,4,5,1,6,6,6,5,5,5,5,2,6
"3",1,7,5,7,5,4,7,1,5,2,2,7,2,6,7,6,6,7,2,2,2,6,3,5,7,5,5,3,5
"2",6,3,5,4,6,1,2,5,6,1,6,3,6,2,2,1,5,3,5,1,7,4,5,6,4,3,2,1,3
"3",3,7,5,5,4,2,6,1,2,1,3,7,5,1,4,3,7,3,1,2,6,6,7,7,1,4,5,4,2
"3",5,5,7,3,6,1,1,1,7,1,7,7,6,2,7,3,7,5,6,1,7,7,7,7,4,2,2,2,3
"4",7,6,7,6,7,1,5,5,5,1,6,2,6,2,5,2,6,6,5,1,6,7,6,6,5,6,2,2,2
"3",4,1,6,3,7,6,2,2,7,2,3,6,3,2,2,2,6,2,6,2,4,7,6,6,2,5,3,4,3
