"school" "textbook" "mathscore"
"1" "Western" "BookA" 42.5971620254032
"2" "Western" "BookA" 57.8858473577931
"3" "Western" "BookA" 45.2162776045787
"4" "Western" "BookA" 45.3999737622068
"5" "Western" "BookA" 40.0117895153433
"6" "Western" "BookA" 48.6385197787539
"7" "Western" "BookA" 48.4232564426611
"8" "Western" "BookA" 46.8587238174123
"9" "Western" "BookA" 49.4676805756395
"10" "Western" "BookA" 52.1400740110118
"11" "Western" "BookA" 46.1114020892628
"12" "Western" "BookA" 43.5305885119319
"13" "Western" "BookA" 46.1021674597029
"14" "Western" "BookA" 50.0597587928265
"15" "Western" "BookA" 49.2379188108892
"16" "Western" "BookA" 46.4826787276068
"17" "Western" "BookA" 55.9443957813783
"18" "Western" "BookA" 51.7025613542459
"19" "Western" "BookA" 52.5348408612958
"20" "Western" "BookA" 48.5334742545929
"21" "Western" "BookA" 51.1182070768814
"22" "Western" "BookA" 60.0360072847272
"23" "Western" "BookA" 55.0598955903357
"24" "Western" "BookA" 48.4877037741587
"25" "Western" "BookB" 44.8737758049317
"26" "Western" "BookB" 48.6630758500286
"27" "Western" "BookB" 49.0044716944262
"28" "Western" "BookB" 50.6556129771219
"29" "Western" "BookB" 50.7289994777185
"30" "Western" "BookB" 51.8103236055861
"31" "Western" "BookB" 53.3699058190024
"32" "Western" "BookB" 60.3601788407528
"33" "Western" "BookB" 47.2948567546926
"34" "Western" "BookB" 44.6475392084395
"35" "Western" "BookB" 48.1377163386086
"36" "Western" "BookB" 47.5742932260586
"37" "Western" "BookB" 51.3739208923785
"38" "Western" "BookB" 47.6024371920885
"39" "Western" "BookB" 53.9905266306269
"40" "Western" "BookB" 44.9777439880564
"41" "Western" "BookB" 50.5249211653492
"42" "Western" "BookB" 44.2200355490395
"43" "Western" "BookB" 52.8906731347893
"44" "Western" "BookB" 42.0218717190324
"45" "Western" "BookB" 48.4574817189704
"46" "Western" "BookB" 52.247329610613
"47" "Western" "BookB" 45.1147335868531
"48" "Western" "BookB" 50.9499892968362
"49" "Western" "BookC" 53.6572667865009
"50" "Western" "BookC" 47.5370044462285
"51" "Western" "BookC" 49.78657543913
"52" "Western" "BookC" 49.4366471178305
"53" "Western" "BookC" 52.2841362386322
"54" "Western" "BookC" 60.1016742088338
"55" "Western" "BookC" 44.7455496877347
"56" "Western" "BookC" 53.6732605294759
"57" "Western" "BookC" 52.6962487197577
"58" "Western" "BookC" 43.4286360152482
"59" "Western" "BookC" 48.7498063897106
"60" "Western" "BookC" 51.5710229821841
"61" "Western" "BookC" 52.0327334683914
"62" "Western" "BookC" 54.9721029989526
"63" "Western" "BookC" 54.2788421587888
"64" "Western" "BookC" 50.9856445842626
"65" "Western" "BookC" 54.1716251877251
"66" "Western" "BookC" 54.2339507620387
"67" "Western" "BookC" 59.7705262730385
"68" "Western" "BookC" 39.2536999921648
"69" "Western" "BookC" 54.8556013485501
"70" "Western" "BookC" 55.7253078664627
"71" "Western" "BookC" 47.3729968695063
"72" "Western" "BookC" 51.2516005138709
"73" "Eastern" "BookA" 52.8529669431515
"74" "Eastern" "BookA" 54.0874018892652
"75" "Eastern" "BookA" 54.4834476680766
"76" "Eastern" "BookA" 51.8308089839408
"77" "Eastern" "BookA" 48.6447310639836
