"teacher" "vocab" "readingspeed"
"1" "Harris" 93.7354618925767 10.5949988962358
"2" "Harris" 101.836433242221 8.31544806093358
"3" "Harris" 91.6437138758995 6.65710458711175
"4" "Harris" 115.952808021378 12.1781732731727
"5" "Harris" 103.295077718154 9.4429240253785
"6" "Harris" 91.7953161588198 9.18174231914523
"7" "Harris" 104.874290524285 10.6361117007318
"8" "Harris" 107.383247051292 9.55928281275307
"9" "Harris" 105.757813516535 9.43844388601649
"10" "Harris" 96.9461161284364 9.42425438259598
"11" "Harris" 115.117811684508 13.8679551615973
"12" "Harris" 103.898432364114 7.34270963555191
"13" "Harris" 93.787594194582 10.566651794715
"14" "Harris" 77.853001128225 8.45120085524954
"15" "Harris" 111.249309181431 13.2511305926958
"16" "Harris" 99.5506639098477 9.34669854371617
"17" "Harris" 99.8380973690105 10.7238473567336
"18" "Harris" 109.438362106853 11.4780337922298
"19" "Harris" 108.212211950981 9.73618113311479
"20" "Harris" 105.939013212175 13.0096369331839
"21" "Harris" 109.189773716082 13.2397826029981
"22" "Harris" 107.821363007311 12.1825635997611
"23" "Harris" 100.745649833652 13.2482318924469
"24" "Harris" 80.1064830413663 9.12762115526724
"25" "Harris" 106.198257478947 8.06664133097864
"26" "Harris" 99.43871260471 8.79734043199723
"27" "Harris" 98.4420449329467 7.39497926349796
"28" "Harris" 85.2924761610073 7.5824463432221
"29" "Harris" 95.2184994489138 8.28111659044313
"30" "Harris" 104.179415601997 10.5021733064882
"31" "Harris" 113.58679551529 9.53683625442415
"32" "Harris" 98.97212272657 10.2132698174652
"33" "Harris" 103.876716115594 9.07850232372173
"34" "Harris" 99.4619495941709 13.4807694981624
"35" "Harris" 86.2294044317139 10.0563553952058
"36" "Harris" 95.8500543670032 11.4053538956908
"37" "Sanchez" 98.0571004628965 20.379790808232
"38" "Sanchez" 101.406866032888 23.6457253676165
"39" "Sanchez" 113.000253719839 21.3285778360698
"40" "Sanchez" 109.631757484575 21.003062036194
"41" "Sanchez" 100.354764037464 22.9355172845762
"42" "Sanchez" 99.4663831986349 18.5918839331063
"43" "Sanchez" 108.969633754047 21.3791652636055
"44" "Sanchez" 107.566631986737 20.7277105384633
"45" "Sanchez" 95.1124430545048 18.3825028738039
"46" "Sanchez" 94.9250484303788 18.4267830801226
"47" "Sanchez" 105.645819621368 22.1175405868093
"48" "Sanchez" 109.685329245154 21.5824048844916
"49" "Sanchez" 100.876537878498 19.163392651471
"50" "Sanchez" 110.811077264542 24.8482931032493
"51" "Sanchez" 105.981058803671 20.7670529436404
"52" "Sanchez" 95.8797360674923 18.8168341534117
"53" "Sanchez" 105.411196914244 20.8818579004217
"54" "Sanchez" 90.7063690391921 19.5666064219412
"55" "Sanchez" 116.33023701701 23.1189185951494
"56" "Sanchez" 121.803998985059 24.2855314540776
"57" "Sanchez" 98.3277852353349 18.3022360895557
"58" "Sanchez" 91.5586537368347 17.6631902028743
"59" "Sanchez" 107.697196274424 21.6597601357539
"60" "Sanchez" 100.649453961192 18.952101819719
"61" "Sanchez" 126.016177605048 26.2662279062747
"62" "Sanchez" 101.607599972668 17.2847318309601
"63" "Sanchez" 108.897393624508 22.3925944464811
"64" "Sanchez" 102.280021587807 17.3831046704862
"65" "Sanchez" 94.5672679111759 18.311501328562
"66" "Sanchez" 103.887922995143 19.7210247901387
"67" "Sanchez" 83.9504137110896 15.4858931808559
"68" "Sanchez" 116.655548615629 23.217316167431
"69" "Sanchez" 103.532533382119 16.8777878250638
"70" "Sanchez" 123.726116703622 27.0983899647614
"71" "Sanchez" 106.755095288997 18.0210741853753
"72" "Sanchez" 94.9005356907819 18.0530463352116
