Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2003-04,NBA,Houston Rockets*,45,37,0.549,5,2.28,87.8,-2.3,100.9,-2,99,-3.9,Lost W. Conf. 1st Rnd.,J. Van Gundy (45-37),Y. Ming (11.4)
2002-03,NBA,Houston Rockets,43,39,0.524,5,1.89,88.8,-2.2,104.3,0.7,102.6,-1,,R. Tomjanovich (43-39),S. Francis (11.1)
2001-02,NBA,Houston Rockets,28,54,0.341,5,-4.31,88.2,-2.5,103.1,-1.4,108.6,4.1,,R. Tomjanovich (28-54),C. Mobley (5.7)
2000-01,NBA,Houston Rockets,45,37,0.549,5,2.71,90.4,-0.9,106.7,3.7,104.2,1.2,,R. Tomjanovich (45-37),S. Francis (12.2)
2016-17,NBA,Indiana Pacers*,42,40,0.512,3,-0.64,95.9,-0.5,108.6,-0.2,108.8,0,Lost E. Conf. 1st Rnd.,N. McMillan (42-40),J. Teague (8.1)
2015-16,NBA,Indiana Pacers*,45,37,0.549,2,1.62,96.6,0.8,104.6,-1.8,102.9,-3.5,Lost E. Conf. 1st Rnd.,F. Vogel (45-37),P. George (9.2)
2014-15,NBA,Indiana Pacers,38,44,0.463,4,-0.23,93.2,-0.7,103.5,-2.1,103.2,-2.4,,F. Vogel (38-44),G. Hill (5.4)
2013-14,NBA,Indiana Pacers*,56,26,0.683,1,3.63,92.5,-1.4,104.1,-2.6,99.3,-7.4,Lost E. Conf. Finals,F. Vogel (56-26),P. George (10.8)
2012-13,NBA,Indiana Pacers*,49,32,0.605,1,3.34,90.2,-1.8,104.3,-1.6,99.8,-6.1,Lost E. Conf. Finals,F. Vogel (49-32),G. Hill (9.7)
2011-12,NBA,Indiana Pacers*,42,24,0.636,2,2.6,90.7,-0.6,106.7,2.1,103.1,-1.5,Lost E. Conf. Semis,F. Vogel (42-24),D. Granger (6.7)
2010-11,NBA,Indiana Pacers*,37,45,0.451,2,-1.38,94.7,2.6,104.8,-2.5,106,-1.3,Lost E. Conf. 1st Rnd.,J. O'Brien (17-27) F. Vogel (20-18),D. Granger (6.9)
2009-10,NBA,Indiana Pacers,32,50,0.39,4,-3.11,97.1,4.4,103.7,-3.9,106.8,-0.8,,J. O'Brien (32-50),T. Murphy (7.8)
2008-09,NBA,Indiana Pacers,36,46,0.439,4,-0.76,96.5,4.8,108.1,-0.2,109.2,0.9,,J. O'Brien (36-46),T. Murphy (8.5)
2007-08,NBA,Indiana Pacers,36,46,0.439,3,-1.87,97.7,5.3,106,-1.5,107.5,0,,J. O'Brien (36-46),M. Dunleavy (8.5)
2006-07,NBA,Indiana Pacers,35,47,0.427,4,-2.62,92.4,0.5,102.9,-3.6,105.5,-1,,R. Carlisle (35-47),D. Granger (6.5)
2005-06,NBA,Indiana Pacers*,41,41,0.5,3,1.62,89.7,-0.8,104.5,-1.7,102.4,-3.8,Lost E. Conf. 1st Rnd.,R. Carlisle (41-41),J. Foster (5.7)
2004-05,NBA,Indiana Pacers*,44,38,0.537,3,0.49,87.2,-3.7,105.5,-0.6,104.6,-1.5,Lost E. Conf. Semis,R. Carlisle (44-38),R. Miller (6.6)
2003-04,NBA,Indiana Pacers*,61,21,0.744,1,4.93,87.5,-2.6,103.8,0.9,97.2,-5.7,Lost E. Conf. Finals,R. Carlisle (61-21),J. O'Neal (9.0)
2002-03,NBA,Indiana Pacers*,48,34,0.585,2,2.79,91.6,0.6,104.6,1,100.8,-2.8,Lost E. Conf. 1st Rnd.,I. Thomas (48-34),J. O'Neal (10.5)
2001-02,NBA,Indiana Pacers*,42,40,0.512,4,-0.07,91.9,1.2,104.1,-0.4,103.8,-0.7,Lost E. Conf. 1st Rnd.,I. Thomas (42-40),R. Miller (9.5)
2000-01,NBA,Indiana Pacers*,41,41,0.5,4,-0.77,89.4,-1.9,102,-1,102.2,-0.8,Lost E. Conf. 1st Rnd.,I. Thomas (41-41),R. Miller (10.3)
2016-17,NBA,Los Angeles Clippers*,51,31,0.622,2,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,Lost W. Conf. 1st Rnd.,D. Rivers (51-31),D. Jordan (11.8)
2015-16,NBA,Los Angeles Clippers*,53,29,0.646,2,4.13,95.8,0,108.3,1.9,103.8,-2.6,Lost W. Conf. 1st Rnd.,D. Rivers (53-29),C. Paul (12.7)
2014-15,NBA,Los Angeles Clippers*,56,26,0.683,2,6.8,94.7,0.8,112.4,6.8,105.5,-0.1,Lost W. Conf. Semis,D. Rivers (56-26),C. Paul (16.1)
2013-14,NBA,Los Angeles Clippers*,57,25,0.695,1,7.27,95.9,2,112.1,5.4,104.8,-1.9,Lost W. Conf. Semis,D. Rivers (57-25),B. Griffin (12.2)
2012-13,NBA,Los Angeles Clippers*,56,26,0.683,1,6.43,91.1,-0.9,110.6,4.7,103.6,-2.3,Lost W. Conf. 1st Rnd.,V. Del Negro (56-26),C. Paul (13.9)
2011-12,NBA,Los Angeles Clippers*,40,26,0.606,2,2.82,89.2,-2.1,108.5,3.9,105.7,1.1,Lost W. Conf. Semis,V. Del Negro (40-26),C. Paul (12.7)
2010-11,NBA,Los Angeles Clippers,32,50,0.39,4,-2.71,92.8,0.7,105.3,-2,108.7,1.4,,V. Del Negro (32-50),B. Griffin (9.8)
2009-10,NBA,Los Angeles Clippers,29,53,0.354,3,-6.01,92.6,-0.1,103.3,-4.3,110.1,2.5,,M. Dunleavy (21-28) K. Hughes (8-25),M. Camby (4.6)
2008-09,NBA,Los Angeles Clippers,19,63,0.232,4,-8.47,92.1,0.4,102.3,-6,111.7,3.4,,M. Dunleavy (19-63),M. Camby (5.2)
2007-08,NBA,Los Angeles Clippers,23,59,0.28,5,-6.56,92.1,-0.3,101.2,-6.3,109.1,1.6,,M. Dunleavy (23-59),C. Maggette (6.9)
2006-07,NBA,Los Angeles Clippers,40,42,0.488,4,-0.07,90.8,-1.1,105.1,-1.4,105.6,-0.9,,M. Dunleavy (40-42),E. Brand (11.5)
2005-06,NBA,Los Angeles Clippers*,47,35,0.573,2,1.75,91.7,1.2,105.3,-0.9,103.6,-2.6,Lost W. Conf. Semis,M. Dunleavy (47-35),E. Brand (14.8)
2004-05,NBA,Los Angeles Clippers,37,45,0.451,3,-0.47,89.1,-1.8,105.5,-0.6,106.4,0.3,,M. Dunleavy (37-45),E. Brand (10.6)
2003-04,NBA,Los Angeles Clippers,28,54,0.341,7,-3.74,91,0.9,103.5,0.6,108.5,5.6,,M. Dunleavy (28-54),E. Brand (9.7)
2002-03,NBA,Los Angeles Clippers,27,55,0.329,7,-3.45,91.3,0.3,102.3,-1.3,106.8,3.2,,A. Gentry (19-39) D. Johnson (8-16),E. Brand (7.6)
2001-02,NBA,Los Angeles Clippers,39,43,0.476,5,-0.09,90.1,-0.6,105.5,1,106,1.5,,A. Gentry (39-43),E. Brand (13.6)
2000-01,NBA,Los Angeles Clippers,31,51,0.378,6,-2.23,89.6,-1.7,101.3,-1.7,104.5,1.5,,A. Gentry (31-51),J. McInnis (6.9)
2016-17,NBA,Los Angeles Lakers,26,56,0.317,4,-6.29,98.5,2.1,106,-2.8,113,4.2,,L. Walton (26-56),L. Williams (4.9)
2015-16,NBA,Los Angeles Lakers,17,65,0.207,5,-8.92,95.6,-0.2,101.6,-4.8,111.6,5.2,,B. Scott (17-65),L. Williams (4.7)
2014-15,NBA,Los Angeles Lakers,21,61,0.256,5,-6.17,94,0.1,103.4,-2.2,110.6,5,,B. Scott (21-61),E. Davis (6.3)
2013-14,NBA,Los Angeles Lakers,27,55,0.329,5,-5.33,98.7,4.8,104.2,-2.5,110.6,3.9,,M. D'Antoni (27-55),J. Meeks (4.5)
2012-13,NBA,Los Angeles Lakers*,45,37,0.549,3,1.48,94.4,2.4,107.8,1.9,106.6,0.7,Lost W. Conf. 1st Rnd.,M. Brown (1-4) B. Bickerstaff (4-1) M. D'Antoni (40-32),K. Bryant (10.9)
2011-12,NBA,Los Angeles Lakers*,41,25,0.621,1,1.96,90.5,-0.8,106,1.4,104.4,-0.2,Lost W. Conf. Semis,M. Brown (41-25),P. Gasol (8.3)
2010-11,NBA,Los Angeles Lakers*,57,25,0.695,1,6.01,90.7,-1.4,111,3.7,104.3,-3,Lost W. Conf. Semis,P. Jackson (57-25),P. Gasol (14.7)
2009-10,NBA,Los Angeles Lakers*,57,25,0.695,1,4.78,92.8,0.1,108.8,1.2,103.7,-3.9,Won Finals,P. Jackson (57-25),P. Gasol (11.0)
2008-09,NBA,Los Angeles Lakers*,65,17,0.793,1,7.11,94.3,2.6,112.8,4.5,104.7,-3.6,Won Finals,P. Jackson (65-17),P. Gasol (13.9)
2007-08,NBA,Los Angeles Lakers*,57,25,0.695,1,7.34,95.6,3.2,113,5.5,105.5,-2,Lost Finals,P. Jackson (57-25),K. Bryant (13.8)
2006-07,NBA,Los Angeles Lakers*,42,40,0.512,2,0.24,93.5,1.6,108.6,2.1,108.6,2.1,Lost W. Conf. 1st Rnd.,P. Jackson (42-40),K. Bryant (13.0)
2005-06,NBA,Los Angeles Lakers*,45,37,0.549,3,2.53,90.9,0.4,108.4,2.2,105.7,-0.5,Lost W. Conf. 1st Rnd.,P. Jackson (45-37),K. Bryant (15.3)
2004-05,NBA,Los Angeles Lakers,34,48,0.415,4,-2.32,90.8,-0.1,108.1,2,111.4,5.3,,R. Tomjanovich (24-19) F. Hamblen (10-29),K. Bryant (8.1)
2003-04,NBA,Los Angeles Lakers*,56,26,0.683,1,4.35,92.3,2.2,105.5,2.6,101.3,-1.6,Lost Finals,P. Jackson (56-26),K. Bryant (10.7)
2002-03,NBA,Los Angeles Lakers*,50,32,0.61,2,2.71,92.5,1.5,107.2,3.6,104.7,1.1,Lost W. Conf. Semis,P. Jackson (50-32),K. Bryant (14.9)
2001-02,NBA,Los Angeles Lakers*,58,24,0.707,2,7.15,92.1,1.4,109.4,4.9,101.7,-2.8,Won Finals,P. Jackson (58-24),S. O'Neal (13.2)
2000-01,NBA,Los Angeles Lakers*,56,26,0.683,1,3.74,91.7,0.4,108.4,5.4,104.8,1.8,Won Finals,P. Jackson (56-26),S. O'Neal (14.9)
2016-17,NBA,Memphis Grizzlies*,43,39,0.524,3,0.96,92.3,-4.1,107.7,-1.1,107.1,-1.7,Lost W. Conf. 1st Rnd.,D. Fizdale (43-39),M. Conley (10.0)
2015-16,NBA,Memphis Grizzlies*,42,40,0.512,3,-2.14,93.3,-2.5,105.4,-1,107.8,1.4,Lost W. Conf. 1st Rnd.,D. Joerger (42-40),M. Conley (5.3)
2014-15,NBA,Memphis Grizzlies*,55,27,0.671,2,3.62,92,-1.9,105.7,0.1,102.2,-3.4,Lost W. Conf. Semis,D. Joerger (55-27),M. Gasol (10.2)
2013-14,NBA,Memphis Grizzlies*,50,32,0.61,3,2.18,89.9,-4,106.3,-0.4,104.6,-2.1,Lost W. Conf. 1st Rnd.,D. Joerger (50-32),M. Conley (8.2)
2012-13,NBA,Memphis Grizzlies*,56,26,0.683,2,4.32,88.4,-3.6,104.9,-1,100.3,-5.6,Lost W. Conf. Finals,L. Hollins (56-26),M. Gasol (11.5)
2011-12,NBA,Memphis Grizzlies*,41,25,0.621,2,2.43,90.8,-0.5,104,-0.6,101.8,-2.8,Lost W. Conf. 1st Rnd.,L. Hollins (41-25),M. Gasol (8.2)
2010-11,NBA,Memphis Grizzlies*,46,36,0.561,4,2.55,91.9,-0.2,107.6,0.3,105.1,-2.2,Lost W. Conf. Semis,L. Hollins (46-36),Z. Randolph (10.5)
2009-10,NBA,Memphis Grizzlies,40,42,0.488,4,-1.39,93.6,0.9,108.3,0.7,109.9,2.3,,L. Hollins (40-42),Z. Randolph (9.7)
2008-09,NBA,Memphis Grizzlies,24,58,0.293,5,-5.23,90.1,-1.6,103.5,-4.8,109.5,1.2,,M. Iavaroni (11-30) J. Davis (0-2) L. Hollins (13-26),M. Gasol (6.4)
2007-08,NBA,Memphis Grizzlies,22,60,0.268,5,-5.76,95.3,2.9,105,-2.5,111.4,3.9,,M. Iavaroni (22-60),M. Miller (5.0)
2006-07,NBA,Memphis Grizzlies,22,60,0.268,5,-4.44,93.6,1.7,106.9,0.4,112.3,5.8,,M. Fratello (6-24) T. Barone (16-36),P. Gasol (6.9)
2005-06,NBA,Memphis Grizzlies*,49,33,0.598,3,3.74,86.3,-4.2,105.9,-0.3,101.6,-4.6,Lost W. Conf. 1st Rnd.,M. Fratello (49-33),P. Gasol (12.0)
2004-05,NBA,Memphis Grizzlies*,45,37,0.549,4,2.64,88.5,-2.4,105.5,-0.6,102.9,-3.2,Lost W. Conf. 1st Rnd.,H. Brown (5-7) L. Hollins (0-4) M. Fratello (40-26),S. Battier (7.8)
2003-04,NBA,Memphis Grizzlies*,50,32,0.61,4,2.95,91.4,1.3,104.8,1.9,102.2,-0.7,Lost W. Conf. 1st Rnd.,H. Brown (50-32),J. Posey (10.0)
2002-03,NBA,Memphis Grizzlies,28,54,0.341,6,-2.6,92.7,1.7,103.9,0.3,107.3,3.7,,S. Lowe (0-8) H. Brown (28-46),P. Gasol (8.5)
2001-02,NBA,Memphis Grizzlies,23,59,0.28,7,-6.74,91.1,0.4,98.2,-6.3,106.3,1.8,,S. Lowe (23-59),P. Gasol (7.6)
2000-01,NBA,Vancouver Grizzlies,23,59,0.28,7,-4.94,91.7,0.4,99.6,-3.4,105.8,2.8,,S. Lowe (23-59),S. Abdur-Rahim (8.5)
2016-17,NBA,Miami Heat,41,41,0.5,3,0.77,95.2,-1.2,107.8,-1,106.7,-2.1,,E. Spoelstra (41-41),H. Whiteside (9.5)
2015-16,NBA,Miami Heat*,48,34,0.585,1,1.5,93.6,-2.2,106.1,-0.3,104.4,-2,Lost E. Conf. Semis,E. Spoelstra (48-34),H. Whiteside (10.3)
2014-15,NBA,Miami Heat,37,45,0.451,3,-2.92,90.9,-3,103.9,-1.7,106.7,1.1,,E. Spoelstra (37-45),L. Deng (5.4)
2013-14,NBA,Miami Heat*,54,28,0.659,1,4.15,91.2,-2.7,110.9,4.2,105.8,-0.9,Lost Finals,E. Spoelstra (54-28),L. James (15.9)
2012-13,NBA,Miami Heat*,66,16,0.805,1,7.03,90.7,-1.3,112.3,6.4,103.7,-2.2,Won Finals,E. Spoelstra (66-16),L. James (19.3)
2011-12,NBA,Miami Heat*,46,20,0.697,1,5.72,91.2,-0.1,106.6,2,100.2,-4.4,Won Finals,E. Spoelstra (46-20),L. James (14.5)
2010-11,NBA,Miami Heat*,58,24,0.707,1,6.76,90.9,-1.2,111.7,4.4,103.5,-3.8,Lost Finals,E. Spoelstra (58-24),L. James (15.6)
2009-10,NBA,Miami Heat*,47,35,0.573,3,1.99,89.6,-3.1,106.6,-1,104.1,-3.5,Lost E. Conf. 1st Rnd.,E. Spoelstra (47-35),D. Wade (13.0)
2008-09,NBA,Miami Heat*,43,39,0.524,3,0.49,89.9,-1.8,107.8,-0.5,107.6,-0.7,Lost E. Conf. 1st Rnd.,E. Spoelstra (43-39),D. Wade (14.7)
2007-08,NBA,Miami Heat,15,67,0.183,5,-8.53,90.2,-2.2,100.5,-7,110,2.5,,P. Riley (15-67),D. Wade (3.3)
2006-07,NBA,Miami Heat*,44,38,0.537,1,-1.21,89.9,-2,104.3,-2.2,105.3,-1.2,Lost E. Conf. 1st Rnd.,P. Riley (44-38),D. Wade (8.8)
2005-06,NBA,Miami Heat*,52,30,0.634,1,3.59,91.6,1.1,108.7,2.5,104.5,-1.7,Won Finals,S. Van Gundy (11-10) P. Riley (41-20),D. Wade (14.4)
2004-05,NBA,Miami Heat*,59,23,0.72,1,5.77,90.8,-0.1,110.2,4.1,103.1,-3,Lost E. Conf. Finals,S. Van Gundy (59-23),D. Wade (11.0)
2003-04,NBA,Miami Heat*,42,40,0.512,2,-0.13,88,-2.1,102.2,-0.7,101.7,-1.2,Lost E. Conf. Semis,S. Van Gundy (42-40),E. Jones (9.1)
2002-03,NBA,Miami Heat,25,57,0.305,7,-5.13,87.8,-3.2,96.7,-6.9,102.4,-1.2,,P. Riley (25-57),B. Grant (7.7)
2001-02,NBA,Miami Heat,36,46,0.439,6,-1.84,87.4,-3.3,98.5,-6,100.2,-4.3,,P. Riley (36-46),E. Jones (10.5)
2000-01,NBA,Miami Heat*,50,32,0.61,2,1.73,87.1,-4.2,101.1,-1.9,98.5,-4.5,Lost E. Conf. 1st Rnd.,P. Riley (50-32),A. Mason (11.6)
2016-17,NBA,Milwaukee Bucks*,42,40,0.512,2,-0.45,94.5,-1.9,109.1,0.3,109.3,0.5,Lost E. Conf. 1st Rnd.,J. Kidd (42-40),G. Antetokounmpo (12.4)
2015-16,NBA,Milwaukee Bucks,33,49,0.402,5,-3.98,94.2,-1.6,104.3,-2.1,108.7,2.3,,J. Kidd (33-49),G. Monroe (7.5)
2014-15,NBA,Milwaukee Bucks*,41,41,0.5,3,-0.09,94.1,0.2,102.7,-2.9,102.2,-3.4,Lost E. Conf. 1st Rnd.,J. Kidd (41-41),K. Middleton (6.7)
2013-14,NBA,Milwaukee Bucks,15,67,0.183,5,-8.41,91.8,-2.1,103,-3.7,111.8,5.1,,L. Drew (15-67),J. Henson (3.3)
2012-13,NBA,Milwaukee Bucks*,38,44,0.463,3,-1.83,94.7,2.7,103.6,-2.3,105.2,-0.7,Lost E. Conf. 1st Rnd.,S. Skiles (16-16) J. Boylan (22-28),E. Ilyasova (6.7)
2011-12,NBA,Milwaukee Bucks,31,35,0.47,3,-0.23,93.7,2.4,105.5,0.9,105.2,0.6,,S. Skiles (31-35),E. Ilyasova (6.4)
2010-11,NBA,Milwaukee Bucks,35,47,0.427,3,-1.02,89.8,-2.3,101.6,-5.7,102.5,-4.8,,S. Skiles (35-47),A. Bogut (5.4)
2009-10,NBA,Milwaukee Bucks*,46,36,0.561,2,1.37,91.7,-1,104.9,-2.7,103.1,-4.5,Lost E. Conf. 1st Rnd.,S. Skiles (46-36),A. Bogut (7.5)
2008-09,NBA,Milwaukee Bucks,34,48,0.415,5,-0.88,92.6,0.9,106.7,-1.6,107.9,-0.4,,S. Skiles (34-48),R. Jefferson (6.6)
2007-08,NBA,Milwaukee Bucks,26,56,0.317,5,-6.92,91.3,-1.1,105.3,-2.2,112.8,5.3,,L. Krystkowiak (26-56),M. Redd (5.8)
2006-07,NBA,Milwaukee Bucks,28,54,0.341,5,-4.43,92.3,0.4,107,0.5,111.7,5.2,,T. Stotts (23-41) L. Krystkowiak (5-13),M. Redd (6.1)
2005-06,NBA,Milwaukee Bucks*,40,42,0.488,5,-1.07,91.2,0.7,106.3,0.1,107.4,1.2,Lost E. Conf. 1st Rnd.,T. Stotts (40-42),M. Redd (10.8)
2004-05,NBA,Milwaukee Bucks,30,52,0.366,5,-3.09,90.8,-0.1,106.6,0.5,109.8,3.7,,T. Porter (30-52),M. Redd (6.2)
2003-04,NBA,Milwaukee Bucks*,41,41,0.5,4,0.42,91.6,1.5,106.5,3.6,105.4,2.5,Lost E. Conf. 1st Rnd.,T. Porter (41-41),M. Redd (9.7)
2002-03,NBA,Milwaukee Bucks*,42,40,0.512,4,-0.24,90.4,-0.6,108.8,5.2,108.6,5,Lost E. Conf. 1st Rnd.,G. Karl (42-40),S. Cassell (9.6)
2001-02,NBA,Milwaukee Bucks,41,41,0.5,5,-0.62,90.2,-0.5,106.9,2.4,107.1,2.6,,G. Karl (41-41),R. Allen (8.9)
2000-01,NBA,Milwaukee Bucks*,52,30,0.634,1,3.14,92.1,0.8,108.8,5.8,104.6,1.6,Lost E. Conf. Finals,G. Karl (52-30),R. Allen (13.7)
2016-17,NBA,Minnesota Timberwolves,31,51,0.378,5,-0.64,94.6,-1.8,110.8,2,112,3.2,,T. Thibodeau (31-51),K. Towns (12.7)
2015-16,NBA,Minnesota Timberwolves,29,53,0.354,5,-3.38,95.2,-0.6,106.5,0.1,110.1,3.7,,S. Mitchell (29-53),K. Towns (8.3)
2014-15,NBA,Minnesota Timberwolves,16,66,0.195,5,-8,94.4,0.5,102.9,-2.7,112.2,6.6,,F. Saunders (16-66),G. Dieng (4.9)
2013-14,NBA,Minnesota Timberwolves,40,42,0.488,3,3.1,97.3,3.4,108.9,2.2,106.2,-0.5,,R. Adelman (40-42),K. Love (14.3)
2012-13,NBA,Minnesota Timberwolves,31,51,0.378,5,-1.83,92.8,0.8,102.9,-3,105.4,-0.5,,R. Adelman (31-51),N. Pekovic (6.7)
2011-12,NBA,Minnesota Timberwolves,26,40,0.394,5,-1.83,93.3,2,104.3,-0.3,106.6,2,,R. Adelman (26-40),K. Love (10.0)
